longitude,latitude,alt,temp,prec,hum,dist_aqua
31.2,-15.3,798.5,29.42074966,87.05833435,64.875,27.02700043
31.2,-15.23333333,833.109375,29.21986771,87.05833435,64.875,29.63100052
31.2,-15.16666667,863.8125,29.0700779,87.05833435,64.875,33.70100021
31.2,-15.1,884.71875,28.92316437,89.53333282,64.68333435,38.77600098
31.2,-15.03333333,874.25,29.10191727,89.53333282,64.68333435,44.51499939
31.2,-14.96666667,914.40625,29.00379181,91.55000305,64.56666565,50.69200134
31.2,-14.9,960.609375,28.50521088,91.55000305,64.56666565,45.03499985
31.2,-14.83333333,982.8125,28.39575386,91.55000305,64.56666565,38.58200073
31.2,-14.76666667,1038.6875,28.00517273,90.7416687,64.34999847,32.54299927
31.2,-14.7,1081.925926,27.95170975,90.7416687,64.34999847,27.1989994
31.26666667,-16.03333333,355.25,31.89350891,72.01667023,65.67500305,20.03300095
31.26666667,-15.96666667,389.90625,31.38207436,71.45833588,65.33333588,13.98700047
31.26666667,-15.9,356.375,31.7082119,71.45833588,65.33333588,6.75
31.26666667,-15.83333333,334.84375,31.43411255,71.45833588,65.33333588,1.930999994
31.26666667,-15.76666667,331.5,30.74258423,70.69999695,64.95833588,0
31.26666667,-15.7,326.71875,30.99424171,70.69999695,64.95833588,0
31.26666667,-15.63333333,348.671875,31.60348892,73.81666565,64.81666565,1.16900003
31.26666667,-15.56666667,503.78125,30.41765404,73.81666565,64.81666565,6.767000198
31.26666667,-15.5,604.9375,30.35956955,73.81666565,64.81666565,12.43299961
31.26666667,-15.43333333,710.03125,29.46640015,82.73332977,65.02500153,19.32699966
31.26666667,-15.36666667,767.421875,29.25256348,82.73332977,65.02500153,19.17499924
31.26666667,-15.3,844.484375,28.9144783,87.05833435,64.875,20.12899971
31.26666667,-15.23333333,816.53125,29.46750641,87.05833435,64.875,23.50799942
31.26666667,-15.16666667,813.25,29.44515038,87.05833435,64.875,28.46500015
31.26666667,-15.1,832.421875,29.39310455,89.53333282,64.68333435,34.3219986
31.26666667,-15.03333333,887.265625,28.88105965,89.53333282,64.68333435,40.69200134
31.26666667,-14.96666667,924.234375,28.88336945,91.55000305,64.56666565,47.36999893
31.26666667,-14.9,972.1875,28.28432274,91.55000305,64.56666565,46.92100143
31.26666667,-14.83333333,1002.609375,28.30996704,91.55000305,64.56666565,39.56700134
31.26666667,-14.76666667,1027.765625,28.12692261,90.7416687,64.34999847,32.24200058
31.26666667,-14.7,1056.640625,28.12692833,90.7416687,64.34999847,24.97500038
31.26666667,-14.63333333,1093.5,28.0147171,88.08333588,64.05000305,24.97500038
31.33333333,-22.56666667,366,31.85548782,38.84166718,67.2416687,13.28100014
31.33333333,-22.5,361,31.81327629,38.84166718,67.2416687,7.190999985
31.33333333,-22.43333333,215.755102,33.17818451,34.26666641,67.58333588,0.185000002
31.33333333,-22.36666667,249.25,32.86575699,34.26666641,67.58333588,5.298999786
31.33333333,-16.1,374.6666667,31.85082626,70.94999695,65.51667023,27.70199966
